alpha,E_avg,E_per_spin,M_avg_abs,M_per_spin,Cv_per_spin,chi_per_spin,acceptance_ratio
3.3,-1142.52,-0.714074,87.663,0.0547894,0.294529,0.826787,0.516994
3.31,-1137.71,-0.711069,86.7697,0.0542311,0.291351,0.808629,0.518665
3.32,-1133.68,-0.708553,86.5045,0.0540653,0.291088,0.797774,0.520243
3.33,-1128.58,-0.705365,85.6421,0.0535263,0.287281,0.78345,0.521889
3.34,-1124.33,-0.702707,85.8194,0.0536372,0.285637,0.779783,0.523488
3.35,-1119.61,-0.699758,85.1289,0.0532055,0.282642,0.766378,0.525056
3.36,-1115.42,-0.69714,84.1413,0.0525883,0.280417,0.749794,0.526615
3.37,-1110.38,-0.693985,84.6888,0.0529305,0.278034,0.752143,0.528295
3.38,-1106.18,-0.69136,84.1124,0.0525703,0.27556,0.747746,0.529856
3.39,-1101.71,-0.688571,83.0167,0.0518855,0.271523,0.727309,0.53135
3.4,-1097.42,-0.685885,83.0204,0.0518878,0.270513,0.722566,0.532889
3.41,-1093.38,-0.683359,82.33,0.0514563,0.266321,0.700668,0.534379
3.42,-1088.88,-0.680551,81.8072,0.0511295,0.266674,0.700335,0.535943
3.43,-1084.73,-0.677958,82.0722,0.0512951,0.263567,0.694676,0.537545
3.44,-1080.25,-0.675157,81.2209,0.0507631,0.259927,0.679882,0.539058
3.45,-1076.16,-0.672599,80.6706,0.0504191,0.258561,0.669268,0.54047
3.46,-1072.99,-0.670618,80.5331,0.0503332,0.256113,0.670366,0.541811
3.47,-1068.07,-0.667546,79.7962,0.0498726,0.254173,0.65451,0.543501
3.48,-1064.09,-0.665056,79.8755,0.0499222,0.250938,0.648833,0.544887
3.49,-1060.26,-0.662661,79.4091,0.0496307,0.250732,0.641924,0.546343
3.5,-1055.89,-0.659933,78.98,0.0493625,0.24876,0.634589,0.547874
3.51,-1052.25,-0.657658,78.9915,0.0493697,0.24551,0.633867,0.549161
3.52,-1048.71,-0.655442,78.363,0.0489769,0.242481,0.619815,0.550591
3.53,-1044.56,-0.652851,78.1216,0.048826,0.241449,0.612744,0.552031
3.54,-1040.48,-0.650303,77.9095,0.0486934,0.240064,0.609043,0.553492
3.55,-1036.98,-0.648113,77.0807,0.0481755,0.236992,0.59654,0.554818
3.56,-1033.19,-0.645743,76.9259,0.0480787,0.235686,0.591911,0.556194
3.57,-1029.39,-0.643368,76.5147,0.0478217,0.234009,0.5827,0.557579
3.58,-1025.37,-0.640857,76.4817,0.047801,0.23318,0.583348,0.558938
3.59,-1021.65,-0.638529,75.5492,0.0472183,0.229847,0.563832,0.560409
3.6,-1018.1,-0.636314,75.6383,0.0472739,0.228635,0.564735,0.561649
3.61,-1014.67,-0.634166,75.3906,0.0471191,0.225779,0.562021,0.562985
3.62,-1010.88,-0.631802,74.8688,0.046793,0.224497,0.55247,0.56437
3.63,-1007.53,-0.629703,74.8529,0.0467831,0.224356,0.547825,0.565616
3.64,-1004.07,-0.627541,74.5523,0.0465952,0.222013,0.541923,0.566902
3.65,-1000.22,-0.625139,73.9415,0.0462135,0.218855,0.532413,0.568288
3.66,-997.064,-0.623165,73.6996,0.0460622,0.218104,0.526525,0.569556
3.67,-993.471,-0.620919,74.0755,0.0462972,0.216291,0.530393,0.570852
3.68,-989.799,-0.618624,73.1529,0.0457206,0.214057,0.518456,0.572199
3.69,-986.488,-0.616555,73.164,0.0457275,0.211865,0.514018,0.573401
3.7,-982.982,-0.614364,73.0453,0.0456533,0.211018,0.510473,0.574727
3.71,-979.463,-0.612164,72.5606,0.0453504,0.209813,0.507298,0.576007
3.72,-976.392,-0.610245,71.8708,0.0449193,0.208408,0.494374,0.577155
3.73,-973.419,-0.608387,71.8826,0.0449266,0.205901,0.494358,0.578341
3.74,-969.46,-0.605913,71.7399,0.0448375,0.204634,0.489846,0.579747
3.75,-966.386,-0.603991,71.3686,0.0446054,0.202231,0.480377,0.58096
3.76,-963.145,-0.601965,71.3268,0.0445792,0.202142,0.482734,0.582087
3.77,-959.986,-0.599991,70.7673,0.0442296,0.201202,0.474981,0.583304
3.78,-956.769,-0.597981,70.8535,0.0442834,0.198442,0.474985,0.584504
3.79,-953.827,-0.596142,70.5588,0.0440993,0.198224,0.4683,0.585709
3.8,-950.301,-0.593938,70.0462,0.0437789,0.195864,0.461375,0.586959
3.81,-947.125,-0.591953,70.0096,0.043756,0.194686,0.45465,0.588152
3.82,-944.034,-0.590021,69.6945,0.0435591,0.193844,0.455397,0.589301
3.83,-940.731,-0.587957,69.5924,0.0434952,0.192057,0.450045,0.590494
3.84,-937.731,-0.586082,69.2726,0.0432954,0.190301,0.441727,0.5917
3.85,-935.212,-0.584507,69.1434,0.0432146,0.189763,0.439336,0.592721
3.86,-931.612,-0.582258,69.1071,0.043192,0.188891,0.437687,0.593987
3.87,-929.192,-0.580745,69.1241,0.0432026,0.187519,0.437335,0.594992
3.88,-925.806,-0.578629,68.407,0.0427544,0.185805,0.429303,0.596263
3.89,-922.84,-0.576775,68.3587,0.0427242,0.185262,0.427809,0.59738
3.9,-920.134,-0.575084,68.1563,0.0425977,0.183162,0.425425,0.598421
3.91,-917.056,-0.57316,67.5926,0.0422454,0.181584,0.416282,0.599557
3.92,-914.084,-0.571302,67.6428,0.0422768,0.181033,0.414535,0.60069
3.93,-911.367,-0.569604,67.3108,0.0420693,0.179309,0.412614,0.601783
3.94,-908.685,-0.567928,67.1629,0.0419768,0.178561,0.409048,0.602831
3.95,-905.592,-0.565995,67.0464,0.041904,0.176762,0.405089,0.604022
3.96,-902.686,-0.564179,66.6771,0.0416732,0.175836,0.397779,0.605049
3.97,-900.257,-0.562661,66.7085,0.0416928,0.174267,0.401192,0.606041
3.98,-897.284,-0.560802,66.4255,0.0415159,0.173559,0.394972,0.60713
3.99,-894.296,-0.558935,66.3862,0.0414914,0.17186,0.392341,0.608298
4,-891.63,-0.557269,65.9861,0.0412413,0.170624,0.385916,0.609333
