alpha,E_avg,E_per_spin,M_avg_abs,M_per_spin,Cv_per_spin,chi_per_spin,acceptance_ratio
1,-798.86,-1.99715,399.709,0.999273,0.023429,0.00157189,0.000936519
1.01,-798.768,-1.99692,399.686,0.999214,0.0248761,0.00169112,0.00104371
1.02,-798.662,-1.99665,399.658,0.999145,0.0264781,0.00183114,0.00107266
1.03,-798.548,-1.99637,399.629,0.999072,0.0283571,0.00197416,0.000942081
1.04,-798.437,-1.99609,399.6,0.999001,0.0298784,0.00210706,0.00100826
1.05,-798.327,-1.99582,399.571,0.998928,0.0315454,0.00225988,0.00137548
1.06,-798.193,-1.99548,399.537,0.998842,0.0334801,0.0024292,0.00117368
1.07,-798.031,-1.99508,399.494,0.998735,0.035678,0.00263258,0.00127289
1.08,-797.896,-1.99474,399.459,0.998647,0.0374309,0.00279792,0.00136116
1.09,-797.772,-1.99443,399.428,0.998569,0.0388799,0.00291998,0.00143993
1.1,-797.59,-1.99397,399.379,0.998448,0.0416617,0.003194,0.00156707
1.11,-797.433,-1.99358,399.338,0.998345,0.0435275,0.00338014,0.00182591
1.12,-797.233,-1.99308,399.286,0.998214,0.0462383,0.00363917,0.00188567
1.13,-797.046,-1.99261,399.237,0.998091,0.048504,0.00386048,0.00195587
1.14,-796.837,-1.99209,399.181,0.997953,0.050731,0.00409861,0.00206131
1.15,-796.65,-1.99162,399.132,0.99783,0.0534981,0.0043817,0.00229684
1.16,-796.417,-1.99104,399.071,0.997678,0.0559837,0.00462413,0.00235718
1.17,-796.207,-1.99052,399.014,0.997534,0.0585787,0.00495435,0.00247166
1.18,-795.941,-1.98985,398.945,0.997362,0.0617575,0.00524442,0.0026332
1.19,-795.684,-1.98921,398.876,0.997191,0.0648805,0.00558886,0.00283674
1.2,-795.43,-1.98858,398.808,0.99702,0.0672174,0.00589198,0.00299248
1.21,-795.146,-1.98786,398.732,0.99683,0.0706487,0.00627279,0.00317324
1.22,-794.85,-1.98713,398.653,0.996633,0.0736365,0.00660665,0.00339845
1.23,-794.597,-1.98649,398.585,0.996462,0.0759837,0.00692893,0.00358064
1.24,-794.264,-1.98566,398.495,0.996239,0.0797779,0.00737214,0.0037583
1.25,-793.947,-1.98487,398.41,0.996025,0.0827271,0.00775495,0.00404853
1.26,-793.587,-1.98397,398.312,0.99578,0.0864823,0.00822572,0.00422417
1.27,-793.254,-1.98313,398.224,0.995559,0.0901659,0.0086538,0.00450425
1.28,-792.875,-1.98219,398.119,0.995298,0.0930783,0.00911859,0.00470794
1.29,-792.511,-1.98128,398.021,0.995052,0.096796,0.00957452,0.00496296
1.3,-792.067,-1.98017,397.899,0.994747,0.101245,0.0102119,0.00528323
1.31,-791.708,-1.97927,397.8,0.994499,0.104673,0.0106839,0.00552156
1.32,-791.261,-1.97815,397.679,0.994196,0.107612,0.0111249,0.00582578
1.33,-790.835,-1.97709,397.559,0.993897,0.112751,0.011874,0.00616805
1.34,-790.306,-1.97576,397.413,0.993534,0.11779,0.0125844,0.00646876
1.35,-789.905,-1.97476,397.303,0.993257,0.120295,0.0130146,0.00675529
1.36,-789.362,-1.9734,397.148,0.99287,0.126015,0.01393,0.00712471
1.37,-788.889,-1.97222,397.017,0.992542,0.129831,0.0145366,0.00751137
1.38,-788.377,-1.97094,396.877,0.992191,0.133791,0.0151221,0.00779781
1.39,-787.772,-1.96943,396.707,0.991768,0.140298,0.0160898,0.00818792
1.4,-787.217,-1.96804,396.549,0.991374,0.144484,0.0168404,0.00859996
1.41,-786.718,-1.96679,396.41,0.991025,0.147371,0.0173634,0.00910739
1.42,-786.042,-1.9651,396.218,0.990545,0.152693,0.0182914,0.0095203
1.43,-785.414,-1.96353,396.043,0.990108,0.158845,0.0192815,0.00985326
1.44,-784.719,-1.9618,395.836,0.989589,0.165258,0.020662,0.0103567
1.45,-784.087,-1.96022,395.66,0.989149,0.169715,0.0213693,0.0107908
1.46,-783.402,-1.95851,395.458,0.988646,0.174418,0.0224846,0.0112931
1.47,-782.722,-1.95681,395.264,0.98816,0.179829,0.0234288,0.0117583
1.48,-781.918,-1.95479,395.026,0.987565,0.187789,0.0251603,0.0123358
1.49,-781.222,-1.95306,394.825,0.987063,0.192633,0.026012,0.012848
1.5,-780.518,-1.95129,394.623,0.986559,0.196046,0.0267699,0.0133697
1.51,-779.612,-1.94903,394.354,0.985885,0.203759,0.0284604,0.0140116
1.52,-778.798,-1.94699,394.122,0.985305,0.20909,0.0294245,0.0145834
1.53,-777.979,-1.94495,393.869,0.984673,0.214278,0.0310238,0.0152127
1.54,-777.121,-1.9428,393.614,0.984035,0.221708,0.0327093,0.0157959
1.55,-776.201,-1.9405,393.335,0.983337,0.227865,0.0343457,0.0164865
1.56,-775.275,-1.93819,393.065,0.982663,0.234779,0.0356636,0.0171703
1.57,-774.324,-1.93581,392.776,0.98194,0.240279,0.0373276,0.0178915
1.58,-773.326,-1.93332,392.471,0.981178,0.248118,0.039242,0.0185869
1.59,-772.36,-1.9309,392.169,0.980422,0.257237,0.0417747,0.0193472
1.6,-771.375,-1.92844,391.878,0.979696,0.26195,0.042936,0.0200713
1.61,-770.155,-1.92539,391.492,0.97873,0.270687,0.0455837,0.0209116
1.62,-769.177,-1.92294,391.194,0.977984,0.277219,0.0474016,0.0216644
1.63,-768.003,-1.92001,390.818,0.977046,0.286706,0.0504732,0.022651
1.64,-766.903,-1.91726,390.47,0.976176,0.292169,0.0529455,0.0234268
1.65,-765.678,-1.91419,390.094,0.975236,0.299077,0.0543375,0.0243233
1.66,-764.612,-1.91153,389.749,0.974373,0.306863,0.0572973,0.0251403
1.67,-763.231,-1.90808,389.308,0.97327,0.315971,0.0598026,0.0262101
1.68,-762.016,-1.90504,388.917,0.972292,0.325797,0.0633812,0.0271118
1.69,-760.591,-1.90148,388.455,0.971136,0.332753,0.0664282,0.0281778
1.7,-759.207,-1.89802,388.004,0.970009,0.342222,0.0697044,0.0291817
1.71,-758.012,-1.89503,387.627,0.969068,0.348072,0.0714954,0.030185
1.72,-756.593,-1.89148,387.161,0.967903,0.358325,0.0755255,0.0313821
1.73,-754.96,-1.8874,386.591,0.966479,0.369362,0.0805489,0.0325233
1.74,-753.561,-1.8839,386.138,0.965345,0.377845,0.0838604,0.0336338
1.75,-752.1,-1.88025,385.642,0.964106,0.386176,0.0878736,0.0347945
1.76,-750.451,-1.87613,385.091,0.962727,0.395674,0.0921628,0.0360727
1.77,-748.891,-1.87223,384.543,0.961358,0.406975,0.0973977,0.037333
1.78,-747.26,-1.86815,383.991,0.959978,0.416896,0.102408,0.038584
1.79,-745.384,-1.86346,383.319,0.958297,0.428042,0.108429,0.0400227
1.8,-743.678,-1.85919,382.724,0.95681,0.440932,0.114585,0.0413625
1.81,-741.817,-1.85454,382.045,0.955112,0.451659,0.120154,0.0428505
1.82,-740.068,-1.85017,381.423,0.953557,0.463677,0.128747,0.0442432
1.83,-738.168,-1.84542,380.757,0.951893,0.471945,0.131221,0.0457946
1.84,-736.501,-1.84125,380.126,0.950315,0.487873,0.14356,0.0472441
1.85,-734.333,-1.83583,379.326,0.948314,0.497335,0.150582,0.04895
1.86,-732.451,-1.83113,378.642,0.946604,0.50726,0.156445,0.0504474
1.87,-730.378,-1.82595,377.847,0.944617,0.518862,0.165213,0.0521103
1.88,-728.237,-1.82059,377.053,0.942631,0.540814,0.175153,0.0539535
1.89,-726.105,-1.81526,376.256,0.94064,0.543442,0.183219,0.0556733
1.9,-723.897,-1.80974,375.399,0.938497,0.560181,0.193055,0.0574646
1.91,-721.735,-1.80434,374.557,0.936392,0.571677,0.202025,0.0593185
1.92,-719.045,-1.79761,373.394,0.933486,0.596231,0.231628,0.0614757
1.93,-716.816,-1.79204,372.521,0.931303,0.60735,0.241481,0.0633321
1.94,-714.243,-1.78561,371.51,0.928775,0.617625,0.25072,0.0654534
1.95,-711.962,-1.7799,370.533,0.926332,0.634718,0.269906,0.0674223
1.96,-709.388,-1.77347,369.42,0.92355,0.648639,0.290997,0.069714
1.97,-706.758,-1.76689,368.3,0.92075,0.67038,0.313976,0.0718326
1.98,-703.75,-1.75937,366.978,0.917446,0.687551,0.342597,0.0743061
1.99,-701.29,-1.75322,365.886,0.914715,0.69995,0.361276,0.0765371
2,-698.258,-1.74565,364.5,0.911249,0.720859,0.381397,0.0791352
2.01,-695.165,-1.73791,362.795,0.906988,0.756048,0.570417,0.0816976
2.02,-692.121,-1.7303,361.556,0.903889,0.774211,0.48808,0.0843466
2.03,-689.511,-1.72378,360.612,0.901531,0.770558,0.443868,0.0867757
2.04,-685.892,-1.71473,358.734,0.896834,0.805266,0.506182,0.0897843
2.05,-682.283,-1.70571,356.683,0.891706,0.845458,0.599463,0.0927281
2.06,-679.521,-1.6988,355.376,0.888441,0.852281,0.656011,0.0956272
2.07,-675.966,-1.68992,353.578,0.883945,0.880452,0.71229,0.0987169
2.08,-672.6,-1.6815,351.999,0.879997,0.895511,0.712598,0.101622
2.09,-668.496,-1.67124,349.507,0.873767,0.932145,0.885168,0.105096
2.1,-665.134,-1.66284,347.746,0.869365,0.953158,0.91662,0.108416
2.11,-660.345,-1.65086,344.777,0.861943,1.00084,1.04437,0.112318
2.12,-657.546,-1.64387,343.556,0.858889,1.00846,1.07146,0.114962
2.13,-652.12,-1.6303,339.513,0.848783,1.06424,1.33722,0.119981
2.14,-648.188,-1.62047,336.992,0.84248,1.10562,1.60217,0.123182
2.15,-644.176,-1.61044,334.764,0.83691,1.1182,1.621,0.126762
2.16,-638.281,-1.5957,329.687,0.824217,1.20851,2.16519,0.131736
2.17,-633.383,-1.58346,325.919,0.814799,1.24081,2.45647,0.136513
2.18,-629.741,-1.57435,323.786,0.809464,1.25951,2.58515,0.139998
2.19,-625.29,-1.56323,321.234,0.803085,1.27128,2.50759,0.144742
2.2,-618.948,-1.54737,315.969,0.789922,1.337,2.91617,0.150059
2.21,-612.711,-1.53178,309.726,0.774315,1.41455,3.6888,0.155629
2.22,-608.278,-1.52069,306.707,0.766767,1.41807,3.76776,0.15988
2.23,-602.514,-1.50629,302.257,0.755643,1.45054,3.92197,0.16596
2.24,-596.613,-1.49153,296.75,0.741875,1.49744,4.4301,0.170834
2.25,-589.328,-1.47332,288.002,0.720005,1.57272,5.37943,0.177146
2.26,-584.806,-1.46202,285.187,0.712968,1.56802,5.37121,0.182364
2.27,-577.475,-1.44369,277.127,0.692817,1.62239,6.05188,0.188733
2.28,-571.773,-1.42943,271.962,0.679906,1.6079,6.17873,0.194554
2.29,-564.285,-1.41071,263.686,0.659214,1.63129,6.72865,0.202183
2.3,-559.582,-1.39896,259.001,0.647502,1.65693,7.12829,0.206176
2.31,-551.827,-1.37957,248.601,0.621501,1.67902,8.10792,0.213386
2.32,-545.085,-1.36271,240.784,0.60196,1.65108,8.29993,0.219562
2.33,-537.876,-1.34469,233.387,0.583468,1.63436,8.36515,0.22701
2.34,-531.731,-1.32933,226.576,0.566439,1.62182,8.60193,0.232496
2.35,-523.602,-1.309,214.228,0.535571,1.62129,9.21902,0.24067
2.36,-517.586,-1.29397,207.686,0.519216,1.56078,9.12157,0.246402
2.37,-512.178,-1.28044,202.668,0.506669,1.53734,8.98046,0.251901
2.38,-505.038,-1.2626,192.31,0.480776,1.49253,9.14761,0.258361
2.39,-500.388,-1.25097,187.469,0.468671,1.45857,8.98383,0.263691
2.4,-495.34,-1.23835,183.148,0.457869,1.40284,8.71102,0.26846
2.41,-489.563,-1.22391,176.113,0.440283,1.37242,8.68417,0.274733
2.42,-484.467,-1.21117,170.386,0.425964,1.33144,8.44536,0.280314
2.43,-478.715,-1.19679,161.116,0.40279,1.27546,8.45324,0.2857
2.44,-473.831,-1.18458,157.281,0.393202,1.2247,8.02977,0.290634
2.45,-469.224,-1.17306,152.146,0.380366,1.20474,7.93905,0.29583
2.46,-463.235,-1.15809,144.108,0.36027,1.1334,7.51463,0.301578
2.47,-459.246,-1.14812,140.715,0.351787,1.09487,7.19692,0.305936
2.48,-456.122,-1.14031,137.729,0.344324,1.061,7.09813,0.309426
2.49,-451.629,-1.12907,132.982,0.332454,1.02008,6.78159,0.313929
2.5,-447.168,-1.11792,128.699,0.321747,0.9931,6.48175,0.318595
2.51,-443.241,-1.1081,123.777,0.309444,0.958477,6.18267,0.323004
2.52,-439.181,-1.09795,118.937,0.297343,0.929578,6.01267,0.32734
2.53,-435.554,-1.08888,116.918,0.292296,0.902811,5.73344,0.330954
2.54,-431.4,-1.0785,111.722,0.279305,0.857954,5.35251,0.335309
2.55,-429.096,-1.07274,111.924,0.279809,0.86563,5.4269,0.338537
2.56,-425.055,-1.06264,106.954,0.267384,0.827669,5.05721,0.34284
2.57,-422.507,-1.05627,105.124,0.262811,0.80109,4.88258,0.345674
2.58,-419.305,-1.04826,103.484,0.258711,0.788016,4.73354,0.349214
2.59,-415.976,-1.03994,100.183,0.250457,0.763947,4.48942,0.352885
2.6,-413.19,-1.03298,98.6105,0.246526,0.748998,4.3548,0.356509
2.61,-409.631,-1.02408,94.7525,0.236881,0.726975,4.1238,0.359879
2.62,-406.792,-1.01698,93.1339,0.232835,0.717156,3.98548,0.36349
2.63,-404.017,-1.01004,90.9303,0.227326,0.697105,3.87359,0.366207
2.64,-401.417,-1.00354,89.9986,0.224996,0.689028,3.73197,0.369462
2.65,-398.649,-0.996622,88.051,0.220128,0.671337,3.58763,0.372681
2.66,-396.124,-0.99031,85.5973,0.213993,0.665703,3.49195,0.375646
2.67,-393.151,-0.982877,83.9517,0.209879,0.646815,3.31514,0.378912
2.68,-390.925,-0.977312,82.3527,0.205882,0.639022,3.23029,0.381747
2.69,-388.449,-0.971123,82.2338,0.205584,0.621277,3.13853,0.38457
2.7,-386.152,-0.965379,80.2947,0.200737,0.608681,2.98796,0.387493
2.71,-383.236,-0.958091,77.476,0.19369,0.598388,2.89536,0.390827
2.72,-381.367,-0.953418,76.9679,0.19242,0.585453,2.8054,0.393238
2.73,-378.832,-0.947079,76.3228,0.190807,0.57876,2.74383,0.396137
2.74,-376.581,-0.941452,74.605,0.186512,0.574326,2.65492,0.398853
2.75,-374.454,-0.936134,74.1972,0.185493,0.558646,2.61187,0.401347
2.76,-372.263,-0.930658,72.7379,0.181845,0.553789,2.51556,0.40411
2.77,-369.581,-0.923953,71.1482,0.177871,0.541256,2.38814,0.406963
2.78,-367.437,-0.918593,70.2205,0.175551,0.538327,2.34722,0.40967
2.79,-365.476,-0.91369,69.5022,0.173755,0.527968,2.28585,0.412185
2.8,-363.279,-0.908198,67.8725,0.169681,0.515401,2.17215,0.414711
2.81,-361.375,-0.903439,67.2674,0.168168,0.515268,2.15385,0.417307
2.82,-359.41,-0.898524,66.4633,0.166158,0.502426,2.07422,0.419837
