alpha,E_avg,E_per_spin,M_avg_abs,M_per_spin,Cv_per_spin,chi_per_spin,acceptance_ratio
2.83,-357.649,-0.894123,65.9315,0.164829,0.502567,2.06715,0.422269
2.84,-355.259,-0.888147,64.8993,0.162248,0.489951,1.97483,0.424909
2.85,-353.311,-0.883277,63.7109,0.159277,0.485727,1.92261,0.427226
2.86,-351.297,-0.878242,63.244,0.15811,0.475829,1.88394,0.429803
2.87,-349.52,-0.873799,62.4905,0.156226,0.469437,1.82459,0.432048
2.88,-347.425,-0.868562,61.334,0.153335,0.460526,1.74093,0.434605
2.89,-345.716,-0.86429,61.0028,0.152507,0.461668,1.75319,0.436808
2.9,-343.97,-0.859925,60.3081,0.15077,0.454368,1.70499,0.439089
2.91,-342.301,-0.855754,59.9038,0.14976,0.443998,1.6591,0.441301
2.92,-340.506,-0.851264,58.8918,0.147229,0.443064,1.62016,0.443483
2.93,-338.338,-0.845846,58.3645,0.145911,0.433448,1.57212,0.446175
2.94,-336.797,-0.841994,57.908,0.14477,0.433213,1.54768,0.448206
2.95,-335.116,-0.83779,56.9891,0.142473,0.424546,1.48818,0.450321
2.96,-333.342,-0.833354,56.6423,0.141606,0.419347,1.47595,0.452615
2.97,-332.047,-0.830118,56.2508,0.140627,0.418323,1.4592,0.454564
2.98,-330.074,-0.825184,55.5424,0.138856,0.412486,1.43222,0.456939
2.99,-328.458,-0.821146,55.0985,0.137746,0.40631,1.39681,0.459014
3,-327.134,-0.817835,54.9442,0.13736,0.400763,1.36464,0.4609
3.01,-325.421,-0.813551,54.1828,0.135457,0.398928,1.33239,0.46312
3.02,-323.83,-0.809574,53.9383,0.134846,0.393127,1.31414,0.465243
3.03,-321.995,-0.804989,53.3625,0.133406,0.388971,1.28529,0.467336
3.04,-320.479,-0.801197,52.9264,0.132316,0.382485,1.27057,0.469415
3.05,-319.214,-0.798034,52.5358,0.13134,0.379819,1.24482,0.471376
3.06,-317.388,-0.793469,51.4985,0.128746,0.374355,1.19391,0.473573
3.07,-316.265,-0.790662,51.2936,0.128234,0.374584,1.19411,0.475332
3.08,-314.66,-0.786649,51.2485,0.128121,0.3663,1.17319,0.477278
3.09,-313.24,-0.783099,50.7312,0.126828,0.364281,1.15272,0.479359
3.1,-311.682,-0.779206,50.1348,0.125337,0.359161,1.13119,0.481202
3.11,-310.535,-0.776339,49.8472,0.124618,0.355751,1.10395,0.48291
3.12,-309.068,-0.77267,49.8723,0.124681,0.352967,1.09443,0.484949
3.13,-307.466,-0.768665,48.9183,0.122296,0.35126,1.05856,0.48692
3.14,-306.184,-0.76546,48.8795,0.122199,0.343585,1.04977,0.48866
3.15,-304.724,-0.761809,48.5364,0.121341,0.341205,1.03687,0.49066
3.16,-303.054,-0.757636,48.299,0.120747,0.337387,1.02292,0.492692
3.17,-301.845,-0.754612,47.702,0.119255,0.33415,1.00146,0.494528
3.18,-300.683,-0.751708,47.6644,0.119161,0.332259,0.993648,0.496208
3.19,-299.364,-0.74841,47.437,0.118592,0.328334,0.977232,0.498065
3.2,-298.32,-0.7458,46.6798,0.116699,0.326275,0.946174,0.499637
3.21,-296.853,-0.742131,46.4272,0.116068,0.32192,0.931606,0.50159
3.22,-295.719,-0.739297,46.3584,0.115896,0.319138,0.927022,0.503292
3.23,-294.058,-0.735145,45.584,0.11396,0.312595,0.903255,0.505238
3.24,-292.9,-0.73225,45.5422,0.113855,0.314501,0.89457,0.506792
3.25,-291.754,-0.729384,45.4154,0.113539,0.308406,0.879938,0.508386
3.26,-290.597,-0.726493,45.3308,0.113327,0.30606,0.872787,0.510193
3.27,-289.121,-0.722803,44.7787,0.111947,0.303718,0.850559,0.512082
3.28,-287.948,-0.71987,44.5012,0.111253,0.300775,0.841261,0.513653
3.29,-286.907,-0.717267,44.2997,0.110749,0.299506,0.838203,0.515165
3.3,-285.588,-0.713971,43.9982,0.109995,0.293873,0.812013,0.51698
3.31,-284.182,-0.710456,43.4856,0.108714,0.29134,0.798755,0.518853
3.32,-283.286,-0.708215,43.3677,0.108419,0.289361,0.790778,0.520287
3.33,-282.131,-0.705328,42.944,0.10736,0.287295,0.779537,0.521904
3.34,-281.234,-0.703086,43.0536,0.107634,0.284683,0.771873,0.523423
3.35,-280.006,-0.700016,42.7194,0.106799,0.281834,0.762113,0.525064
3.36,-278.573,-0.696432,42.3069,0.105767,0.277538,0.748592,0.526825
3.37,-277.602,-0.694006,42.3562,0.10589,0.277597,0.742477,0.528289
3.38,-276.664,-0.691659,42.1168,0.105292,0.274819,0.730859,0.529697
3.39,-275.493,-0.688734,41.8261,0.104565,0.272006,0.723481,0.531362
3.4,-274.296,-0.685741,41.5146,0.103786,0.269896,0.704906,0.532997
3.41,-273.455,-0.683639,41.3946,0.103487,0.268227,0.706135,0.534369
3.42,-272.334,-0.680835,41.1019,0.102755,0.266623,0.686343,0.535987
3.43,-271.001,-0.677502,40.9081,0.10227,0.26285,0.684675,0.537645
3.44,-270.11,-0.675274,40.7342,0.101836,0.260288,0.678829,0.539106
3.45,-269.001,-0.672502,40.7466,0.101867,0.257075,0.675178,0.540452
3.46,-268.027,-0.670068,40.4624,0.101156,0.256844,0.660236,0.541896
3.47,-266.977,-0.667442,40.0179,0.100045,0.254024,0.650313,0.543411
3.48,-266.092,-0.66523,40.0257,0.100064,0.251452,0.642986,0.544771
3.49,-265.359,-0.663397,39.9216,0.099804,0.248583,0.636866,0.546193
3.5,-264.207,-0.660517,39.4861,0.0987152,0.247833,0.625333,0.547642
3.51,-263.154,-0.657885,39.4856,0.0987139,0.245529,0.622591,0.549211
3.52,-262.064,-0.655161,39.294,0.0982351,0.243339,0.612597,0.550621
3.53,-261.064,-0.652659,39.0213,0.0975533,0.240692,0.6004,0.552145
3.54,-260.15,-0.650375,38.7302,0.0968256,0.238387,0.598373,0.553376
3.55,-259.08,-0.647701,38.6151,0.0965378,0.237187,0.593029,0.554899
3.56,-258.142,-0.645356,38.5979,0.0964948,0.235942,0.586639,0.556254
3.57,-257.433,-0.643583,38.7276,0.0968189,0.234538,0.591698,0.557469
3.58,-256.161,-0.640403,38.1197,0.0952992,0.232034,0.569904,0.559051
3.59,-255.279,-0.638198,38.1586,0.0953965,0.229425,0.570242,0.560497
3.6,-254.597,-0.636492,37.9058,0.0947644,0.229623,0.562705,0.561638
3.61,-253.51,-0.633775,37.7391,0.0943477,0.226431,0.553873,0.563039
3.62,-252.59,-0.631476,37.773,0.0944325,0.224471,0.556612,0.564538
3.63,-251.886,-0.629716,37.3837,0.0934593,0.223151,0.541941,0.565668
3.64,-250.793,-0.626982,37.301,0.0932526,0.221201,0.536175,0.567001
3.65,-250.14,-0.62535,37.0702,0.0926755,0.21974,0.528807,0.568258
3.66,-249.25,-0.623124,37.1007,0.0927517,0.219261,0.530583,0.569543
3.67,-248.335,-0.620838,36.9856,0.092464,0.215808,0.526939,0.570837
3.68,-247.564,-0.61891,36.8275,0.0920688,0.214453,0.522636,0.572038
3.69,-246.655,-0.616637,36.5447,0.0913618,0.21226,0.510349,0.573439
3.7,-245.729,-0.614322,36.3835,0.0909588,0.21231,0.506861,0.574716
3.71,-244.813,-0.612033,36.4383,0.0910958,0.210393,0.503775,0.576017
3.72,-244.181,-0.610453,36.0982,0.0902456,0.20836,0.49487,0.577142
3.73,-243.38,-0.608449,36.2108,0.0905271,0.207196,0.493723,0.578318
3.74,-242.326,-0.605815,35.8474,0.0896184,0.204791,0.485324,0.57975
3.75,-241.442,-0.603606,35.8186,0.0895464,0.204013,0.47781,0.580989
3.76,-240.693,-0.601732,35.7602,0.0894004,0.202024,0.478687,0.582071
3.77,-240.094,-0.600236,35.7621,0.0894051,0.200769,0.478685,0.583205
3.78,-239.318,-0.598295,35.4961,0.0887402,0.198764,0.466685,0.584516
3.79,-238.459,-0.596148,35.2481,0.0881203,0.197625,0.461136,0.585726
3.8,-237.696,-0.59424,35.3261,0.0883153,0.197122,0.461676,0.586864
3.81,-236.703,-0.591759,35.0438,0.0876096,0.195451,0.452693,0.588191
3.82,-236.081,-0.590201,35.0092,0.087523,0.194121,0.453618,0.589185
3.83,-235.054,-0.587635,34.7515,0.0868787,0.191916,0.444168,0.590617
3.84,-234.455,-0.586137,34.6936,0.0867341,0.191271,0.441131,0.591638
3.85,-233.672,-0.584179,34.6102,0.0865255,0.188897,0.437596,0.592846
3.86,-233.051,-0.582628,34.405,0.0860125,0.187786,0.43061,0.593936
3.87,-232.222,-0.580556,34.3672,0.0859179,0.186437,0.42814,0.594976
3.88,-231.573,-0.578933,34.333,0.0858326,0.185177,0.428136,0.596232
3.89,-230.698,-0.576746,34.1377,0.0853442,0.182969,0.426647,0.597384
3.9,-229.936,-0.57484,34.0479,0.0851196,0.183637,0.419826,0.598513
3.91,-229.276,-0.573191,33.9607,0.0849016,0.181358,0.416215,0.599604
3.92,-228.612,-0.571531,33.9188,0.0847969,0.181462,0.416322,0.60068
3.93,-227.691,-0.569227,33.7101,0.0842752,0.179725,0.407669,0.601853
3.94,-227.23,-0.568075,33.6328,0.084082,0.179314,0.403334,0.602753
3.95,-226.316,-0.565789,33.6002,0.0840005,0.177686,0.401003,0.603963
3.96,-225.666,-0.564166,33.3777,0.0834442,0.175192,0.398211,0.60514
3.97,-224.979,-0.562449,33.4002,0.0835005,0.174927,0.398189,0.606172
3.98,-224.239,-0.560598,33.2883,0.0832207,0.173019,0.394287,0.60724
3.99,-223.584,-0.55896,33.2606,0.0831515,0.172618,0.392729,0.608301
4,-222.947,-0.557368,33.0436,0.082609,0.171571,0.386261,0.609386
